Output       : /shared/home/erg966/LosslessModelCompression/compression_results_zstd.jsonl
RESULTS dir  : /shared/home/erg966/LosslessModelCompression/RESULTS_2_30
Chunk size   : 128 MB
Workers      : 6
Algorithms   : ['raw_zstd', 'byte_transpose', 'semantic_sep', 'bitplane', 'gorilla_base', 'xor_delta', 'gorilla_xor_delta']
Zstd level   : 1
Total trials : 294

[  1/294]  FP32E8M23/Var0p1/raw_zstd                ratio=0.9256  c=   7.40s  elapsed=38s
[144/294]  BF16E8M7/Var0p5/bitplane                ratio=0.6945  c=   2.77s  elapsed=5325s
[145/294]  FP8E4M3/Var0p01/bitplane                ratio=0.8559  c=   1.36s  elapsed=5355s
[146/294]  FP8E4M3/Var0p025/bitplane                ratio=0.8559  c=   1.36s  elapsed=5382s
[147/294]  FP8E4M3/Var0p05/bitplane                ratio=0.8559  c=   1.36s  elapsed=5390s
[148/294]  FP8E4M3/Var0p1/bitplane                ratio=0.8559  c=   1.36s  elapsed=5409s
[149/294]  FP8E4M3/Var0p25/bitplane                ratio=0.8559  c=   1.38s  elapsed=5440s
[150/294]  FP8E4M3/Var0p5/bitplane                ratio=0.8559  c=   1.36s  elapsed=5456s
[151/294]  FP8E5M2/Var0p01/bitplane                ratio=0.7647  c=   1.23s  elapsed=5484s
[152/294]  FP8E5M2/Var0p025/bitplane                ratio=0.7647  c=   1.22s  elapsed=5511s
[153/294]  FP8E5M2/Var0p05/bitplane                ratio=0.7647  c=   1.23s  elapsed=5520s
[154/294]  MXFP4E2M1/Var0p01/bitplane                ratio=0.9654  c=   0.61s  elapsed=5538s
[155/294]  FP8E5M2/Var0p1/bitplane                ratio=0.7647  c=   1.22s  elapsed=5539s
[156/294]  MXFP4E2M1/Var0p025/bitplane                ratio=0.9722  c=   0.61s  elapsed=5565s
[157/294]  FP8E5M2/Var0p25/bitplane                ratio=0.7647  c=   1.24s  elapsed=5572s
[158/294]  MXFP4E2M1/Var0p05/bitplane                ratio=0.9712  c=   0.67s  elapsed=5574s
[159/294]  FP8E5M2/Var0p5/bitplane                ratio=0.7646  c=   1.23s  elapsed=5587s
[160/294]  MXFP4E2M1/Var0p1/bitplane                ratio=0.9722  c=   0.66s  elapsed=5591s
[161/294]  MXFP4E2M1/Var0p25/bitplane                ratio=0.9761  c=   0.69s  elapsed=5593s
[162/294]  MXFP4E2M1/Var0p5/bitplane                ratio=0.9666  c=   0.66s  elapsed=5618s
[163/294]  NVFP4E2M1/Var0p01/bitplane                ratio=1.0000  c=   0.52s  elapsed=5630s
[164/294]  NVFP4E2M1/Var0p025/bitplane                ratio=1.0000  c=   0.45s  elapsed=5631s
[165/294]  NVFP4E2M1/Var0p05/bitplane                ratio=1.0000  c=   0.48s  elapsed=5645s
[166/294]  NVFP4E2M1/Var0p1/bitplane                ratio=1.0000  c=   0.42s  elapsed=5647s
[167/294]  NVFP4E2M1/Var0p25/bitplane                ratio=1.0000  c=   0.48s  elapsed=5650s
[168/294]  FP32E8M23/Var0p025/gorilla_base            ratio=0.9394  c=   7.49s  elapsed=5668s
[169/294]  FP32E8M23/Var0p01/gorilla_base            ratio=0.9434  c=   7.78s  elapsed=5668s
[170/294]  NVFP4E2M1/Var0p5/bitplane                ratio=1.0000  c=   0.46s  elapsed=5674s
[171/294]  FP32E8M23/Var0p05/gorilla_base            ratio=0.9360  c=   7.49s  elapsed=5682s
[172/294]  FP32E8M23/Var0p1/gorilla_base            ratio=0.9376  c=   7.47s  elapsed=5684s
[173/294]  FP32E8M23/Var0p25/gorilla_base            ratio=0.9382  c=   7.48s  elapsed=5687s
[174/294]  FP16E5M10/Var0p01/gorilla_base            ratio=0.9518  c=   3.80s  elapsed=5687s
[175/294]  FP16E5M10/Var0p025/gorilla_base            ratio=0.9457  c=   3.72s  elapsed=5692s
[176/294]  FP16E5M10/Var0p05/gorilla_base            ratio=0.9403  c=   3.71s  elapsed=5700s
[177/294]  FP16E5M10/Var0p1/gorilla_base            ratio=0.9447  c=   3.71s  elapsed=5703s
[178/294]  FP32E8M23/Var0p5/gorilla_base            ratio=0.9351  c=   7.46s  elapsed=5705s
